,MAE,RMSE
subject_2,1.8617638171910444,1.8840690912019853
subject_3,0.5213821899709886,0.5468844835643937
subject_4,1.0847445126591255,1.2916127132053885
subject_6,0.13175257892147796,0.1619643014512046
subject_7,0.4847705058477325,0.5490177754566744
subject_8,1.4287997969654602,1.4938047607660128
subject_9,0.6328217800388983,0.6362905036755298
subject_10,0.5322214468388311,0.5343218415629036
subject_11,0.9928721590909092,1.4084781242250282
subject_13,0.5855391327210063,0.5865792787271413
subject_14,1.2404703037298703,1.2404703974184326
subject_15,0.6779597645022629,0.6812942397058219
subject_16,0.7402033185630805,0.7458364238738083
subject_17,0.4729232024563652,0.5657119281255326
